Polluted element,Type of pollution,Georgia_Champaign,Georgia_Washington,Illinois_Boston,Illinois_Chicago,Massachusetts_Albany,Massachusetts_Lenox,Massachusetts_Springfield
Soil,,19.21,2.82,6.93,-43.13,-13.47,14.25,-60.15
,  Chemical,-70.71,-25.13,-83.15,-37.27,-3.00,22.60,-53.72
,  Groundwater,50.15,97.79,40.97,-45.22,-18.38,12.24,-61.33
,  Surface water,47.49,-33.84,28.75,-47.69,-25.61,3.14,-68.34
,  Urban Activities,49.91,-27.53,41.14,-42.35,-6.88,19.02,-57.23
Water,,-14.62,1.81,37.91,52.61,-16.14,12.81,-30.46
,  Chemical,47.92,-34.24,26.17,-48.89,-27.07,2.32,58.04
,  Industrial,-72.03,-26.86,45.70,91.43,-5.37,21.39,-54.68
,  Inorganic Fertilizers,48.01,99.62,40.21,85.09,-10.74,18.61,-60.65
,  Oxygen-depletion,-82.37,-31.29,39.55,82.81,-21.39,8.91,-64.55
Average,,2.30,2.32,22.42,4.74,-14.80,13.53,-45.31
,  ,2.30,2.32,22.42,4.74,-14.80,13.53,-45.31
