Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Library,Q4,October,2.73
Service,Library,Q1,November,3.53
Service,Library,Q4,December,10.8
Service,Library,Q1,January,15.38
Service,Library,Q4,March,16.95
Service,Library,Q1,February,20.71
Residential,Hospital,Q4,October,25.24
Residential,Hospital,Q1,November,25.94
Residential,Hospital,Q4,December,28.88
Residential,Hospital,Q1,January,32.34
Residential,Hospital,Q4,March,33.44
Residential,Hospital,Q1,February,34.25
Service,Apartment,Q4,October,36.9
Service,Apartment,Q1,November,40.71
Service,Apartment,Q4,December,49.38
Service,Apartment,Q1,January,60.94
Service,Apartment,Q4,March,63.63
Service,Apartment,Q1,February,74.1
Residential,House,Q4,October,75.4
Residential,House,Q1,November,76.33
Residential,House,Q4,December,75.28
Residential,House,Q1,January,88.59
Residential,House,Q4,March,96.75
Residential,House,Q1,February,98.04
