State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Massachusetts,Lenox,Air,Noise,-0.79
Massachusetts,Lenox,Soil,Thermal,-0.31
Massachusetts,Lenox,Water,Light,2.73
Massachusetts,Lenox,Air,Urban Activities,3.44
Massachusetts,Lenox,Soil,Solid Waste,7.96
Massachusetts,Lenox,Water,Industrial,7.95
Massachusetts,Lenox,Air,Surface water,15.31
Massachusetts,Lenox,Soil,Groundwater,16.54
Massachusetts,Lenox,Water,Oxygen-depletion,18.58
Massachusetts,Lenox,Air,Chemical,22.37
Massachusetts,Lenox,Soil,Noise,22.35
Massachusetts,Lenox,Water,Thermal,24.64
Georgia,Cambridge,Air,Noise,-97.88
Georgia,Cambridge,Soil,Thermal,0.11
Georgia,Cambridge,Water,Light,31.53
Georgia,Cambridge,Air,Urban Activities,-91.51
Georgia,Cambridge,Soil,Solid Waste,38.42
Georgia,Cambridge,Water,Industrial,-88.11
Georgia,Cambridge,Air,Surface water,-86.8
Georgia,Cambridge,Soil,Groundwater,-86.34
Georgia,Cambridge,Water,Oxygen-depletion,42.46
Georgia,Cambridge,Air,Chemical,45.39
Georgia,Cambridge,Soil,Noise,49.61
Georgia,Cambridge,Water,Thermal,-77.89
Massachusetts,Boston,Air,Noise,-70.28
Massachusetts,Boston,Soil,Thermal,-70.22
Massachusetts,Boston,Water,Light,-65.82
Massachusetts,Boston,Air,Urban Activities,66.82
Massachusetts,Boston,Soil,Solid Waste,-62.82
Massachusetts,Boston,Water,Industrial,-59.87
Massachusetts,Boston,Air,Surface water,-59.17
Massachusetts,Boston,Soil,Groundwater,71.65
Massachusetts,Boston,Water,Oxygen-depletion,-54.0
Massachusetts,Boston,Air,Chemical,-53.65
Massachusetts,Boston,Soil,Noise,-53.83
Massachusetts,Boston,Water,Thermal,-50.98
Georgia,Columbus,Air,Noise,-49.99
Georgia,Columbus,Soil,Thermal,78.12
Georgia,Columbus,Water,Light,81.63
Georgia,Columbus,Air,Urban Activities,-47.84
Georgia,Columbus,Soil,Solid Waste,-45.85
Georgia,Columbus,Water,Industrial,-9.8
Georgia,Columbus,Air,Surface water,-44.88
Georgia,Columbus,Soil,Groundwater,89.43
Georgia,Columbus,Water,Oxygen-depletion,-38.67
Georgia,Columbus,Air,Chemical,90.52
Georgia,Columbus,Soil,Noise,89.28
Georgia,Columbus,Water,Thermal,90.49
Massachusetts,Washington,Air,Noise,95.26
Massachusetts,Washington,Soil,Thermal,98.14
Massachusetts,Washington,Water,Light,-29.87
Massachusetts,Washington,Air,Urban Activities,98.45
Massachusetts,Washington,Soil,Solid Waste,-19.97
Massachusetts,Washington,Water,Industrial,-15.31
Massachusetts,Washington,Air,Surface water,-15.43
Massachusetts,Washington,Soil,Groundwater,-13.68
Massachusetts,Washington,Water,Oxygen-depletion,-10.49
Massachusetts,Washington,Air,Chemical,-9.3
Massachusetts,Washington,Soil,Noise,-4.63
Massachusetts,Washington,Water,Thermal,-3.44
