Polluted element,Type of pollution,Massachusetts_Lenox,Massachusetts_Rochester,Minnesota_Cambridge,Minnesota_Minneapolis
Air,,-21.33,31.27,60.75,-27.92
,  Chemical,21.58,74.92,60.51,-34.69
,  Inferior Irrigation,-86.45,-49.27,65.55,-13.82
,  Light,0.88,68.15,56.19,-35.24
Soil,,-12.50,37.75,64.45,21.48
,  Light,51.18,-39.01,68.28,-10.92
,  Oxygen-depletion,-99.80,78.72,64.77,-18.92
,  Thermal,11.11,73.54,60.31,94.28
Water,,-17.28,-9.19,-66.85,59.56
,  Groundwater,25.15,-50.87,-67.98,95.82
,  Noise,1.66,-57.76,-70.35,94.48
,  Urban Activities,-78.65,81.06,-62.22,-11.61
