Polluted element,Type of pollution,Georgia_Baltimore_2015,Georgia_Minneapolis_2015,Maryland_Albany_2016,Maryland_Columbia_2016,Minnesota_Columbus_2022,Minnesota_Hastings_2022,Average
Air,,-15.79,21.20,-30.33,4.12,4.57,14.56,-0.28
,  Chemical,-38.44,39.55,-74.84,-16.96,-62.09,14.23,-23.09
,  Light,24.29,-20.41,54.22,45.30,5.97,10.56,19.99
,  Surface water,-33.21,44.47,-70.36,-15.98,69.83,18.90,2.27
Water,,28.95,-40.52,36.56,-14.18,-16.07,-0.98,-1.04
,  Groundwater,93.09,43.84,57.21,-15.96,-61.73,17.11,22.26
,  Oxygen-depletion,-32.20,-81.21,59.78,-10.78,-59.02,19.07,-17.39
,  Thermal,25.96,-84.19,-7.32,-15.80,72.53,-39.12,-7.99
Average,,6.58,-9.66,3.12,-5.03,-5.75,6.79,-0.66
,  ,6.58,-9.66,3.12,-5.03,-5.75,6.79,-0.66
