Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Hospital,Q1,January,Michigan,Detroit,4.51
Service,Hospital,Q2,March,Florida,Tampa,5.02
Service,Hospital,Q3,February,Michigan,Detroit,10.7
Service,Hospital,Q1,April,Florida,Tampa,13.24
Service,Hospital,Q2,May,Michigan,Detroit,14.91
Service,Hospital,Q3,July,Florida,Tampa,14.69
Service,Hospital,Q1,September,Michigan,Detroit,16.6
Service,Hospital,Q2,January,Florida,Tampa,17.68
Service,Hospital,Q3,March,Michigan,Detroit,16.46
Production,Administration,Q1,January,Michigan,Detroit,19.47
Production,Administration,Q2,March,Florida,Tampa,18.04
Production,Administration,Q3,February,Michigan,Detroit,15.11
Production,Administration,Q1,April,Florida,Tampa,14.49
Production,Administration,Q2,May,Michigan,Detroit,27.51
Production,Administration,Q3,July,Florida,Tampa,31.6
Production,Administration,Q1,September,Michigan,Detroit,33.82
Production,Administration,Q2,January,Florida,Tampa,35.81
Production,Administration,Q3,March,Michigan,Detroit,38.74
Service,School,Q1,January,Michigan,Detroit,39.29
Service,School,Q2,March,Florida,Tampa,41.73
Service,School,Q3,February,Michigan,Detroit,42.13
Service,School,Q1,April,Florida,Tampa,45.45
Service,School,Q2,May,Michigan,Detroit,54.22
Service,School,Q3,July,Florida,Tampa,57.17
Service,School,Q1,September,Michigan,Detroit,57.99
Service,School,Q2,January,Florida,Tampa,59.42
Service,School,Q3,March,Michigan,Detroit,60.54
Production,Workshop,Q1,January,Michigan,Detroit,59.8
Production,Workshop,Q2,March,Florida,Tampa,62.54
Production,Workshop,Q3,February,Michigan,Detroit,67.34
Production,Workshop,Q1,April,Florida,Tampa,68.13
Production,Workshop,Q2,May,Michigan,Detroit,77.5
Production,Workshop,Q3,July,Florida,Tampa,79.61
Production,Workshop,Q1,September,Michigan,Detroit,80.68
Production,Workshop,Q2,January,Florida,Tampa,82.97
Production,Workshop,Q3,March,Michigan,Detroit,84.89
Service,Factory,Q1,January,Michigan,Detroit,85.87
Service,Factory,Q2,March,Florida,Tampa,86.06
Service,Factory,Q3,February,Michigan,Detroit,88.5
Service,Factory,Q1,April,Florida,Tampa,90.21
Service,Factory,Q2,May,Michigan,Detroit,94.85
Service,Factory,Q3,July,Florida,Tampa,95.93
Service,Factory,Q1,September,Michigan,Detroit,95.33
Service,Factory,Q2,January,Florida,Tampa,97.93
Service,Factory,Q3,March,Michigan,Detroit,98.31
