Polluted element,Type of pollution,California_Portland_2021,California_San Francisco_2020,Nevada_Las Vegas_2021,Nevada_Malibu_2021,Nevada_Salem_2020,Oregon_Redmond_2021,Oregon_Reno_2020
Air,,-81.88,-32.31,15.47,20.24,57.18,26.91,-54.52
,  Inferior Irrigation,-85.17,-47.68,6.83,97.23,53.18,65.99,24.82
,  Surface water,-82.05,-40.70,17.94,-28.00,57.23,-61.72,-96.72
,  Thermal,-78.43,-8.55,21.64,-8.52,61.14,76.46,-91.65
Soil,,-41.44,-2.31,10.03,-29.42,54.52,21.64,-14.44
,  Light,-80.96,89.70,18.98,-24.28,60.27,65.53,34.18
,  Oxygen-depletion,-83.39,-44.95,8.76,-30.64,53.16,-62.26,-99.80
,  Urban Activities,40.03,-51.67,2.35,-33.35,50.13,61.66,22.31
Water,,45.60,41.50,12.71,57.87,-30.61,-17.69,-13.36
,  Chemical,45.72,85.52,13.07,97.84,-75.80,-61.35,32.63
,  Industrial,41.10,79.35,4.97,95.02,-77.59,-66.50,23.64
,  Noise,49.99,-40.37,20.08,-19.24,61.56,74.78,-96.35
Average,,-25.91,2.29,12.74,16.23,27.03,10.29,-27.44
,  ,-25.91,2.29,12.74,16.23,27.03,10.29,-27.44
