Characteristic,Intensity,2016_Nevada_Detroit,2016_Nevada_Las Vegas,2020_Michigan_Boulder City,2020_Michigan_Fort Lauderdale,2021_Florida_Flint,2021_Florida_Tampa
Maximum,,27.73,9.23,16.65,15.15,27.48,22.72
,  ,27.73,9.23,16.65,15.15,27.48,22.72
Humidity,,27.73,9.23,13.52,15.15,27.48,21.28
,  31-40,7.16,4.88,13.52,14.42,20.65,21.28
,  Breeze,27.73,1.03,12.39,12.89,21.80,4.81
,  Medium,9.84,9.23,2.83,15.15,27.48,3.15
Temperature,,25.49,8.85,16.65,9.34,26.30,22.72
,  21-30,24.34,2.15,13.96,3.74,22.85,18.92
,  Calm,25.49,2.03,11.48,9.34,20.31,16.55
,  High,9.56,8.85,16.65,2.12,26.30,22.72
Wind,,27.09,7.49,13.23,14.35,25.61,21.94
,  0-10,4.65,4.90,13.23,12.37,22.63,5.96
,  Low,2.18,7.49,3.26,14.35,25.61,21.94
,  Storm,27.09,1.88,4.89,9.82,19.98,3.38
