Polluted element,Type of pollution,California_Champaign,California_San Francisco,Florida_Chicago,Florida_Tampa,Illinois_Fort Lauderdale,Illinois_Malibu
Air,,-12.88,-0.15,6.45,-8.13,13.78,20.52
,  Groundwater,-9.84,43.12,6.04,-47.28,-27.79,17.38
,  Inferior Irrigation,53.70,-14.50,-55.01,13.04,33.55,-40.92
,  Noise,-82.50,-29.09,68.33,9.85,35.57,85.11
Soil,,-8.49,-22.29,5.03,-6.56,-10.18,23.10
,  Industrial,53.80,-17.23,63.81,10.53,-44.27,86.74
,  Inorganic Fertilizers,-69.48,-96.51,-54.40,15.98,40.33,-40.98
,  Light,-9.80,46.87,5.67,-46.18,-26.58,23.53
Water,,22.56,-21.19,68.38,8.96,-49.16,18.71
,  Chemical,-35.13,-8.12,70.10,12.04,-93.36,17.16
,  Thermal,47.99,-39.00,63.87,5.33,35.91,-44.18
,  Urban Activities,54.82,-16.45,71.16,9.49,-90.02,83.16
