Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2018,Massachusetts,Boston,Temperature,21-30,2.65
2018,Massachusetts,Boston,Humidity,11-20,3.2
2018,Massachusetts,Boston,Wind,Medium,2.66
2018,Massachusetts,Boston,Temperature,High,5.83
2018,Massachusetts,Boston,Humidity,Breeze,5.6
2018,Massachusetts,Boston,Wind,Calm,6.37
2021,Maryland,Cambridge,Temperature,21-30,5.38
2021,Maryland,Cambridge,Humidity,11-20,9.01
2021,Maryland,Cambridge,Wind,Medium,10.26
2021,Maryland,Cambridge,Temperature,High,9.98
2021,Maryland,Cambridge,Humidity,Breeze,9.89
2021,Maryland,Cambridge,Wind,Calm,11.01
2018,California,Lenox,Temperature,21-30,14.05
2018,California,Lenox,Humidity,11-20,14.63
2018,California,Lenox,Wind,Medium,9.04
2018,California,Lenox,Temperature,High,10.94
2018,California,Lenox,Humidity,Breeze,3.42
2018,California,Lenox,Wind,Calm,19.92
2021,Massachusetts,Baltimore,Temperature,21-30,20.81
2021,Massachusetts,Baltimore,Humidity,11-20,19.73
2021,Massachusetts,Baltimore,Wind,Medium,22.75
2021,Massachusetts,Baltimore,Temperature,High,22.7
2021,Massachusetts,Baltimore,Humidity,Breeze,22.41
2021,Massachusetts,Baltimore,Wind,Calm,25.47
2018,Maryland,Aberdeen,Temperature,21-30,26.79
2018,Maryland,Aberdeen,Humidity,11-20,27.62
2018,Maryland,Aberdeen,Wind,Medium,27.82
2018,Maryland,Aberdeen,Temperature,High,25.88
2018,Maryland,Aberdeen,Humidity,Breeze,26.38
2018,Maryland,Aberdeen,Wind,Calm,23.67
2021,California,Malibu,Temperature,21-30,24.38
2021,California,Malibu,Humidity,11-20,6.6
2021,California,Malibu,Wind,Medium,6.73
2021,California,Malibu,Temperature,High,6.41
2021,California,Malibu,Humidity,Breeze,8.15
2021,California,Malibu,Wind,Calm,8.79
2018,Massachusetts,San Francisco,Temperature,21-30,8.55
2018,Massachusetts,San Francisco,Humidity,11-20,9.86
2018,Massachusetts,San Francisco,Wind,Medium,3.11
2018,Massachusetts,San Francisco,Temperature,High,11.59
2018,Massachusetts,San Francisco,Humidity,Breeze,14.2
2018,Massachusetts,San Francisco,Wind,Calm,14.78
2021,Maryland,Los-Angeles,Temperature,21-30,18.92
2021,Maryland,Los-Angeles,Humidity,11-20,19.93
2021,Maryland,Los-Angeles,Wind,Medium,20.39
2021,Maryland,Los-Angeles,Temperature,High,22.21
2021,Maryland,Los-Angeles,Humidity,Breeze,24.72
2021,Maryland,Los-Angeles,Wind,Calm,25.71
