Polluted element,Type of pollution,California_Berkeley_2022,California_Minneapolis_2019,Minnesota_Los-Angeles_2018,Minnesota_Malibu_2020,Minnesota_Rochester_2020
Average,,46.35,-23.64,16.84,4.64,13.09
,  ,46.35,-23.64,16.84,4.64,13.09
Air,,46.69,-22.39,28.51,3.95,13.78
,  Chemical,81.55,45.91,63.19,-25.44,16.38
,  Industrial,84.30,-78.60,-61.23,-11.77,21.81
,  Inferior Irrigation,72.52,-98.69,53.54,-45.91,5.37
,  Noise,-51.60,41.80,58.55,98.92,11.58
Soil,,45.07,4.46,25.26,33.64,10.96
,  Groundwater,79.92,44.36,-65.25,99.73,14.40
,  Industrial,70.88,21.32,51.14,85.11,-0.98
,  Light,-53.88,32.61,49.31,-31.18,10.36
,  Surface water,83.36,-80.46,65.84,-19.11,20.08
Water,,47.30,-52.98,-3.26,-23.67,14.51
,  Inferior Irrigation,-43.51,-77.33,65.88,-5.04,20.40
,  Oxygen-depletion,81.38,48.12,-63.08,-20.86,17.37
,  Thermal,77.94,-85.65,58.32,-31.27,12.37
,  Urban Activities,73.40,-97.05,-74.15,-37.51,7.90
