Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Humidity,Medium,1.04
2021,Temperature,High,1.75
2021,Wind,Low,3.05
2021,Humidity,11-20,4.22
2021,Temperature,31-40,5.09
2021,Wind,0-10,6.87
2021,Humidity,Calm,6.25
2021,Temperature,Storm,6.18
2021,Wind,Breeze,9.81
2022,Humidity,Medium,8.47
2022,Temperature,High,11.25
2022,Wind,Low,11.16
2022,Humidity,11-20,5.22
2022,Temperature,31-40,10.14
2022,Wind,0-10,15.67
2022,Humidity,Calm,17.62
2022,Temperature,Storm,18.29
2022,Wind,Breeze,18.75
2017,Humidity,Medium,20.55
2017,Temperature,High,21.98
2017,Wind,Low,22.19
2017,Humidity,11-20,23.43
2017,Temperature,31-40,19.56
2017,Wind,0-10,19.86
2017,Humidity,Calm,26.92
2017,Temperature,Storm,26.73
2017,Wind,Breeze,19.98
