Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Illinois,Chicago,Wind,Calm,0.12
2017,Illinois,Chicago,Humidity,Breeze,0.83
2017,Illinois,Chicago,Temperature,Low,2.93
2017,Illinois,Chicago,Wind,Medium,0.28
2017,Illinois,Chicago,Humidity,High,0.89
2017,Illinois,Chicago,Temperature,0-10,5.11
2017,Illinois,Chicago,Wind,21-30,3.35
2017,Illinois,Chicago,Humidity,11-20,8.75
2017,Illinois,Chicago,Temperature,Calm,9.45
2021,Michigan,Springfield,Wind,Calm,10.76
2021,Michigan,Springfield,Humidity,Breeze,11.23
2021,Michigan,Springfield,Temperature,Low,12.63
2021,Michigan,Springfield,Wind,Medium,12.54
2021,Michigan,Springfield,Humidity,High,13.71
2021,Michigan,Springfield,Temperature,0-10,15.13
2021,Michigan,Springfield,Wind,21-30,12.96
2021,Michigan,Springfield,Humidity,11-20,12.12
2021,Michigan,Springfield,Temperature,Calm,18.51
2018,Illinois,Champaign,Wind,Calm,18.58
2018,Illinois,Champaign,Humidity,Breeze,19.84
2018,Illinois,Champaign,Temperature,Low,21.22
2018,Illinois,Champaign,Wind,Medium,22.52
2018,Illinois,Champaign,Humidity,High,23.23
2018,Illinois,Champaign,Temperature,0-10,23.19
2018,Illinois,Champaign,Wind,21-30,24.79
2018,Illinois,Champaign,Humidity,11-20,24.13
2018,Illinois,Champaign,Temperature,Calm,26.59
2017,Michigan,Detroit,Wind,Calm,24.57
2017,Michigan,Detroit,Humidity,Breeze,21.08
2017,Michigan,Detroit,Temperature,Low,26.8
2017,Michigan,Detroit,Wind,Medium,25.4
2017,Michigan,Detroit,Humidity,High,23.43
2017,Michigan,Detroit,Temperature,0-10,27.13
2017,Michigan,Detroit,Wind,21-30,10.97
2017,Michigan,Detroit,Humidity,11-20,10.8
2017,Michigan,Detroit,Temperature,Calm,10.03
2021,Illinois,Flint,Wind,Calm,12.69
2021,Illinois,Flint,Humidity,Breeze,13.47
2021,Illinois,Flint,Temperature,Low,13.31
2021,Illinois,Flint,Wind,Medium,14.19
2021,Illinois,Flint,Humidity,High,15.48
2021,Illinois,Flint,Temperature,0-10,17.01
2021,Illinois,Flint,Wind,21-30,17.68
2021,Illinois,Flint,Humidity,11-20,19.95
2021,Illinois,Flint,Temperature,Calm,20.74
