Quarter,Month,Residential_Administration,Residential_Hotel,Service_Apartment,Service_Hospital,State,City
Minimum,,20.21,73.86,44.17,1.09,,
,  ,20.21,73.86,44.17,1.09,,
Q2,,20.21,73.86,44.17,1.09,,
,  April,20.21,73.86,44.17,1.09,Florida,Tampa
,  August,28.74,80.21,48.51,3.51,Florida,Fort Lauderdale
,  December,36.52,94.45,61.61,11.85,Florida,Tampa
Q3,,23.88,76.84,46.06,2.76,,
,  July,30.40,83.45,50.10,5.44,Florida,Tampa
,  June,23.88,76.84,46.06,2.76,Florida,Fort Lauderdale
,  October,37.03,95.32,64.77,13.89,Florida,Fort Lauderdale
Q4,,27.77,79.20,47.61,3.32,,
,  May,27.77,79.20,47.61,3.32,Florida,Tampa
,  November,38.15,98.42,67.40,18.96,Florida,Tampa
,  September,32.37,93.90,59.65,9.29,Florida,Fort Lauderdale
