State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
California,Los-Angeles,2016,Air,Light,-0.51
California,Los-Angeles,2016,Water,Noise,7.97
California,Los-Angeles,2016,Soil,Thermal,11.66
California,Los-Angeles,2016,Air,Groundwater,13.44
California,Los-Angeles,2016,Water,Chemical,16.83
California,Los-Angeles,2016,Soil,Surface water,21.82
California,Los-Angeles,2016,Air,Inferior Irrigation,21.02
California,Los-Angeles,2016,Water,Inorganic Fertilizers,28.95
California,Los-Angeles,2016,Soil,Industrial,28.97
Maryland,Berkeley,2015,Air,Light,33.28
Maryland,Berkeley,2015,Water,Noise,41.34
Maryland,Berkeley,2015,Soil,Thermal,42.6
Maryland,Berkeley,2015,Air,Groundwater,43.51
Maryland,Berkeley,2015,Water,Chemical,44.15
Maryland,Berkeley,2015,Soil,Surface water,51.84
Maryland,Berkeley,2015,Air,Inferior Irrigation,52.54
Maryland,Berkeley,2015,Water,Inorganic Fertilizers,53.52
Maryland,Berkeley,2015,Soil,Industrial,56.74
Georgia,Malibu,2016,Air,Light,59.77
Georgia,Malibu,2016,Water,Noise,-1.21
Georgia,Malibu,2016,Soil,Thermal,64.99
Georgia,Malibu,2016,Air,Groundwater,70.71
Georgia,Malibu,2016,Water,Chemical,73.36
Georgia,Malibu,2016,Soil,Surface water,77.89
Georgia,Malibu,2016,Air,Inferior Irrigation,78.66
Georgia,Malibu,2016,Water,Inorganic Fertilizers,79.02
Georgia,Malibu,2016,Soil,Industrial,80.44
California,Baltimore,2015,Air,Light,83.48
California,Baltimore,2015,Water,Noise,91.12
California,Baltimore,2015,Soil,Thermal,91.98
California,Baltimore,2015,Air,Groundwater,95.9
California,Baltimore,2015,Water,Chemical,96.99
California,Baltimore,2015,Soil,Surface water,97.84
California,Baltimore,2015,Air,Inferior Irrigation,97.62
California,Baltimore,2015,Water,Inorganic Fertilizers,99.21
California,Baltimore,2015,Soil,Industrial,0.43
Maryland,Columbia,2016,Air,Light,-96.63
Maryland,Columbia,2016,Water,Noise,-95.52
Maryland,Columbia,2016,Soil,Thermal,-95.6
Maryland,Columbia,2016,Air,Groundwater,-96.35
Maryland,Columbia,2016,Water,Chemical,-88.91
Maryland,Columbia,2016,Soil,Surface water,-84.54
Maryland,Columbia,2016,Air,Inferior Irrigation,-82.4
Maryland,Columbia,2016,Water,Inorganic Fertilizers,-80.29
Maryland,Columbia,2016,Soil,Industrial,-80.61
Georgia,Aberdeen,2015,Air,Light,-78.4
Georgia,Aberdeen,2015,Water,Noise,-80.9
Georgia,Aberdeen,2015,Soil,Thermal,-77.75
Georgia,Aberdeen,2015,Air,Groundwater,-75.18
Georgia,Aberdeen,2015,Water,Chemical,-75.37
Georgia,Aberdeen,2015,Soil,Surface water,-73.0
Georgia,Aberdeen,2015,Air,Inferior Irrigation,-80.56
Georgia,Aberdeen,2015,Water,Inorganic Fertilizers,-70.02
Georgia,Aberdeen,2015,Soil,Industrial,-68.96
California,Washington,2016,Air,Light,-65.68
California,Washington,2016,Water,Noise,-62.28
California,Washington,2016,Soil,Thermal,-60.65
California,Washington,2016,Air,Groundwater,-60.73
California,Washington,2016,Water,Chemical,-59.69
California,Washington,2016,Soil,Surface water,-56.31
California,Washington,2016,Air,Inferior Irrigation,-55.88
California,Washington,2016,Water,Inorganic Fertilizers,-56.61
California,Washington,2016,Soil,Industrial,-53.44
Maryland,Albany,2015,Air,Light,-52.55
Maryland,Albany,2015,Water,Noise,-53.81
Maryland,Albany,2015,Soil,Thermal,-36.62
Maryland,Albany,2015,Air,Groundwater,-31.21
Maryland,Albany,2015,Water,Chemical,-27.49
Maryland,Albany,2015,Soil,Surface water,-26.61
Maryland,Albany,2015,Air,Inferior Irrigation,-26.32
Maryland,Albany,2015,Water,Inorganic Fertilizers,-24.87
Maryland,Albany,2015,Soil,Industrial,-26.97
Georgia,Columbus,2016,Air,Light,-26.41
Georgia,Columbus,2016,Water,Noise,-22.18
Georgia,Columbus,2016,Soil,Thermal,-23.16
Georgia,Columbus,2016,Air,Groundwater,-24.84
Georgia,Columbus,2016,Water,Chemical,-15.03
Georgia,Columbus,2016,Soil,Surface water,-14.17
Georgia,Columbus,2016,Air,Inferior Irrigation,-11.95
Georgia,Columbus,2016,Water,Inorganic Fertilizers,-8.26
Georgia,Columbus,2016,Soil,Industrial,-1.12
