Characteristic,Intensity,2015_Maryland_Baltimore,2015_Maryland_Cambridge,2015_Maryland_Lenox,2017_Massachusetts_Aberdeen,2017_Massachusetts_Boston
Maximum,,10.97,26.71,24.76,19.09,27.02
,  ,10.97,26.71,24.76,19.09,27.02
Humidity,,8.38,25.16,22.55,17.93,26.32
,  21-30,8.38,25.16,22.55,17.93,8.66
,  Calm,4.20,22.80,19.83,14.78,26.32
,  Medium,1.13,19.96,12.15,11.03,23.89
Temperature,,10.97,26.50,24.76,19.09,27.02
,  0-10,10.97,26.50,24.76,19.09,4.27
,  Low,4.02,22.02,5.80,12.85,27.02
,  Storm,7.20,24.79,20.72,16.70,25.12
Wind,,5.50,26.71,23.91,17.54,24.62
,  11-20,5.50,26.71,23.91,17.54,11.49
,  Breeze,5.45,24.68,20.86,13.07,24.59
,  High,3.13,17.56,17.61,12.95,24.62
