Polluted element,Type of pollution,California_Chicago,California_Los-Angeles,California_San Francisco,Illinois_Berkeley,Illinois_Springfield,Average
Air,,-19.52,-31.05,-5.17,-81.79,-33.34,-34.17
,  Chemical,-17.84,-59.26,33.14,-78.08,-37.77,-31.96
,  Groundwater,-7.18,-60.67,-89.88,-78.40,0.08,-47.21
,  Light,-23.55,66.70,21.21,-83.83,-42.47,-12.39
,  Solid Waste,-29.50,-70.96,14.84,-86.86,-53.19,-45.13
Soil,,-20.83,-31.10,-39.52,-18.43,-10.30,-24.04
,  Industrial,-25.98,66.19,20.34,42.26,-45.26,11.51
,  Inferior Irrigation,-29.96,-74.70,10.19,41.69,-53.37,-21.23
,  Noise,-16.99,-59.30,-98.26,-79.94,-38.18,-58.53
,  Oxygen-depletion,-10.40,-56.60,-90.36,-77.73,95.59,-27.90
Water,,-15.75,3.62,-1.67,-16.64,-39.21,-13.93
,  Inferior Irrigation,-5.22,75.02,-88.96,54.28,-30.44,0.94
,  Inorganic Fertilizers,-26.08,-68.98,16.01,-89.74,-47.02,-43.16
,  Surface water,-14.12,69.40,37.07,-77.78,-36.40,-4.37
,  Thermal,-17.59,-60.98,29.20,46.66,-42.96,-9.13
