Quarter,Month,Residential_Apartment,Residential_Hotel,Residential_School,Service_Hospital,Service_House,State,City
Q1,,5.08,41.40,93.82,82.14,24.60,,
,  August,5.08,41.40,93.82,82.14,24.60,Illinois,Champaign
,  January,17.57,63.97,98.11,92.18,31.46,Illinois,Champaign
Q3,,3.34,36.45,92.20,79.13,17.45,,
,  December,3.34,36.45,93.29,79.13,17.45,Illinois,Champaign
,  March,16.88,59.94,92.20,90.60,29.44,Illinois,Champaign
Q4,,2.87,31.06,92.69,79.67,18.46,,
,  October,2.87,31.06,92.69,79.67,18.46,Illinois,Champaign
,  September,7.70,48.75,96.80,89.49,26.42,Illinois,Champaign
Minimum,,2.87,31.06,92.20,79.13,17.45,,
,  ,2.87,31.06,92.20,79.13,17.45,,
