Quarter,Month,Culture_Apartment,Culture_Museum,Production_Factory,Production_House,Residential_Theatre,Residential_Workshop,State,City
Minimum,,50.88,0.26,82.20,27.27,11.46,63.74,,
,  ,50.88,0.26,82.20,27.27,11.46,63.74,,
Q2,,52.58,0.51,84.60,29.24,13.86,66.66,,
,  May,59.21,6.51,87.85,42.74,17.48,70.69,Minnesota,Hastings
,  October,52.58,0.51,84.60,29.24,13.86,66.66,Minnesota,Hastings
,  September,62.31,10.09,90.08,49.68,22.62,77.48,Minnesota,Hastings
Q3,,52.42,1.35,84.52,38.00,16.36,67.80,,
,  December,61.73,11.37,92.39,50.65,25.11,81.93,Minnesota,Hastings
,  July,61.74,8.76,88.03,42.04,22.91,72.03,Minnesota,Hastings
,  June,52.42,1.35,84.52,38.00,16.36,67.80,Minnesota,Hastings
Q4,,50.88,0.26,82.20,27.27,11.46,63.74,,
,  April,57.16,3.66,85.66,38.96,17.78,70.17,Minnesota,Hastings
,  August,62.24,9.69,87.98,47.55,23.48,71.56,Minnesota,Hastings
,  December,50.88,0.26,82.20,27.27,11.46,63.74,Minnesota,Hastings
