Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Wind,Storm,1.83
2020,Temperature,Breeze,1.65
2020,Humidity,11-20,1.16
2020,Wind,21-30,5.26
2020,Temperature,31-40,7.79
2020,Humidity,Medium,8.68
2020,Wind,Low,9.8
2020,Temperature,Storm,10.54
2020,Humidity,Breeze,11.0
2015,Wind,Storm,11.81
2015,Temperature,Breeze,12.42
2015,Humidity,11-20,13.98
2015,Wind,21-30,12.21
2015,Temperature,31-40,16.2
2015,Humidity,Medium,17.5
2015,Wind,Low,11.44
2015,Temperature,Storm,19.75
2015,Humidity,Breeze,11.67
2018,Wind,Storm,20.47
2018,Temperature,Breeze,22.71
2018,Humidity,11-20,23.3
2018,Wind,21-30,23.43
2018,Temperature,31-40,23.83
2018,Humidity,Medium,26.61
2018,Wind,Low,27.34
2018,Temperature,Storm,27.38
2018,Humidity,Breeze,9.19
