Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Export,2022,Beverage,Juice,642.65
Export,2022,Meat,Tea,387.59
Export,2022,Beverage,Beef,520.73
Export,2022,Meat,Camel,268.15
Export,2022,Beverage,Pork,919.36
Export,2022,Meat,Juice,26.75
Export,2018,Beverage,Juice,679.66
Export,2018,Meat,Tea,425.36
Export,2018,Beverage,Beef,300.62
Export,2018,Meat,Camel,176.61
Export,2018,Beverage,Pork,816.16
Export,2018,Meat,Juice,695.75
Export,2019,Beverage,Juice,202.76
Export,2019,Meat,Tea,975.86
Export,2019,Beverage,Beef,211.1
Export,2019,Meat,Camel,214.09
Export,2019,Beverage,Pork,993.14
Export,2019,Meat,Juice,97.41
Export,2022,Beverage,Juice,100.66
Export,2022,Meat,Tea,231.85
Export,2022,Beverage,Beef,232.16
Export,2022,Meat,Camel,231.7
Export,2022,Beverage,Pork,749.24
Export,2022,Meat,Juice,751.66
