Quarter,Month,State,City,Production_Administration,Production_Factory,Service_Library,Service_Workshop
Q1,August,Maryland,Springfield,24.60,79.88,0.70,46.56
,December,Illinois,Springfield,35.63,91.80,9.79,66.53
,January,Illinois,Springfield,20.83,70.02,0.58,42.75
Q3,February,Maryland,Baltimore,20.35,72.15,0.35,44.90
,November,Maryland,Baltimore,40.47,92.20,11.42,68.07
,September,Illinois,Baltimore,27.37,81.60,4.08,62.97
Q4,July,Maryland,Columbia,28.22,85.21,5.29,62.10
,March,Illinois,Columbia,24.04,79.96,2.87,46.38
,October,Illinois,Columbia,41.34,91.48,19.19,70.26
Minimum,,,,20.35,70.02,0.35,42.75
