Polluted element,Type of pollution,Florida_Aberdeen_2017,Florida_Baltimore_2017,Florida_Fort Lauderdale_2017,Maryland_Columbia_2021,Maryland_Tampa_2021,Average
Air,,-8.82,-17.09,-2.52,8.17,-3.74,-4.80
,  Groundwater,-63.96,-17.02,27.17,-45.68,48.70,-10.16
,  Industrial,65.65,-21.26,17.98,-48.03,38.58,10.58
,  Inferior Irrigation,75.95,-5.57,-94.30,-34.78,60.81,0.42
,  Solid Waste,-65.31,-30.40,4.56,78.76,-91.95,-20.87
,  Surface water,-56.45,-11.21,31.98,90.59,-74.85,-3.99
Soil,,14.76,-18.64,-31.16,33.29,-5.02,-1.36
,  Chemical,71.65,-11.09,-99.84,88.93,-75.69,-5.21
,  Inorganic Fertilizers,-65.07,-24.97,9.95,-48.94,39.01,-18.00
,  Noise,-66.55,-16.46,26.65,83.94,-81.24,-10.73
,  Solid Waste,73.48,-7.03,-96.05,-35.35,57.24,-1.54
,  Urban Activities,60.30,-33.67,3.47,77.85,35.58,28.71
Water,,-8.21,-15.50,-0.76,60.99,24.50,12.20
,  Inferior Irrigation,-64.03,-29.64,8.97,77.47,-90.34,-19.51
,  Inorganic Fertilizers,-52.14,-4.84,34.13,95.73,61.02,26.78
,  Light,-65.29,-17.30,21.62,83.51,46.88,13.88
,  Oxygen-depletion,70.30,-16.69,28.21,-43.16,46.98,17.13
,  Urban Activities,70.10,-9.05,-96.71,91.39,57.97,22.74
