Polluted element,Type of pollution,Florida_Columbus_2022,Florida_Fort Lauderdale_2020,Georgia_Detroit_2020,Georgia_Tampa_2019,Michigan_Port Huron_2019,Michigan_Washington_2016
Air,Groundwater,47.43,-22.90,33.58,-54.34,9.76,61.86
,Industrial,-74.76,-2.22,39.26,86.78,22.16,-62.64
,Light,47.86,-13.29,-95.44,-47.65,15.91,-65.18
,Urban Activities,-85.29,-31.77,30.87,66.14,3.35,57.84
Soil,Chemical,49.77,-22.26,-93.42,77.41,10.97,61.72
,Industrial,-90.52,-38.26,27.60,67.41,0.93,56.21
,Inorganic Fertilizers,-82.84,98.48,-97.22,-57.56,5.82,-69.54
,Thermal,49.83,-9.28,-90.32,-47.87,17.39,65.86
Water,Noise,-75.52,-4.91,-90.86,-46.37,21.58,-62.74
,Oxygen-depletion,-81.68,-17.39,35.59,-49.11,11.11,63.69
,Solid Waste,-88.45,96.49,27.86,67.72,1.53,-72.76
,Surface water,-81.05,-28.13,33.10,64.93,5.34,60.85
