Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2020,Q2,Beverage,Tea,35.66
Import,2020,Q2,Dairy,Coffee,901.9
Import,2020,Q2,Beverage,Cream,966.73
Import,2020,Q2,Dairy,Cheese,744.59
Import,2019,Q2,Beverage,Tea,969.19
Import,2019,Q2,Dairy,Coffee,170.08
Import,2019,Q2,Beverage,Cream,366.06
Import,2019,Q2,Dairy,Cheese,592.49
Import,2020,Q2,Beverage,Tea,786.74
Import,2020,Q2,Dairy,Coffee,566.11
Import,2020,Q2,Beverage,Cream,791.35
Import,2020,Q2,Dairy,Cheese,987.64
Import,2019,Q2,Beverage,Tea,667.5
Import,2019,Q2,Dairy,Coffee,637.25
Import,2019,Q2,Beverage,Cream,222.55
Import,2019,Q2,Dairy,Cheese,351.53
