Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Hotel,Q2,May,Illinois,Springfield,0.74
Residential,Hotel,Q3,June,Illinois,Champaign,4.49
Residential,Hotel,Q4,September,Illinois,Springfield,9.93
Residential,Hotel,Q2,July,Illinois,Champaign,10.85
Residential,Hotel,Q3,August,Illinois,Springfield,11.98
Residential,Hotel,Q4,November,Illinois,Champaign,15.76
Residential,Hotel,Q2,October,Illinois,Springfield,16.62
Residential,Hotel,Q3,May,Illinois,Champaign,20.51
Residential,Hotel,Q4,June,Illinois,Springfield,24.78
Service,Apartment,Q2,May,Illinois,Springfield,27.57
Service,Apartment,Q3,June,Illinois,Champaign,31.48
Service,Apartment,Q4,September,Illinois,Springfield,32.19
Service,Apartment,Q2,July,Illinois,Champaign,33.33
Service,Apartment,Q3,August,Illinois,Springfield,35.09
Service,Apartment,Q4,November,Illinois,Champaign,39.93
Service,Apartment,Q2,October,Illinois,Springfield,42.42
Service,Apartment,Q3,May,Illinois,Champaign,43.98
Service,Apartment,Q4,June,Illinois,Springfield,44.08
Residential,School,Q2,May,Illinois,Springfield,44.84
Residential,School,Q3,June,Illinois,Champaign,49.41
Residential,School,Q4,September,Illinois,Springfield,53.92
Residential,School,Q2,July,Illinois,Champaign,54.22
Residential,School,Q3,August,Illinois,Springfield,66.97
Residential,School,Q4,November,Illinois,Champaign,67.34
Residential,School,Q2,October,Illinois,Springfield,68.68
Residential,School,Q3,May,Illinois,Champaign,68.44
Residential,School,Q4,June,Illinois,Springfield,73.43
Service,Administration,Q2,May,Illinois,Springfield,75.29
Service,Administration,Q3,June,Illinois,Champaign,76.05
Service,Administration,Q4,September,Illinois,Springfield,81.97
Service,Administration,Q2,July,Illinois,Champaign,83.7
Service,Administration,Q3,August,Illinois,Springfield,84.25
Service,Administration,Q4,November,Illinois,Champaign,85.82
Service,Administration,Q2,October,Illinois,Springfield,91.08
Service,Administration,Q3,May,Illinois,Champaign,99.86
Service,Administration,Q4,June,Illinois,Springfield,99.97
