Polluted element,Type of pollution,Florida_Hastings_2022,Florida_Salem_2017,Minnesota_Minneapolis_2017,Minnesota_Portland_2017,Minnesota_Tampa_2022,Oregon_Fort Lauderdale_2017,Oregon_Redmond_2022,Average
Air,,41.86,-69.53,13.99,-11.29,-46.19,83.18,-36.84,-3.55
,  Inferior Irrigation,32.06,-80.39,6.53,-19.25,93.25,75.02,-50.71,8.07
,  Inorganic Fertilizers,47.01,-56.86,21.75,-1.96,-88.02,91.00,-26.71,-1.97
,  Oxygen-depletion,41.06,-77.10,11.42,-15.95,-98.65,79.34,-38.80,-14.10
,  Thermal,47.31,-63.76,16.26,-8.01,-91.32,87.35,-31.16,-6.19
Soil,,37.86,-76.05,10.59,-15.73,0.76,77.66,-42.95,-1.13
,  Chemical,44.97,-74.85,13.30,-14.07,-97.85,85.77,-37.94,-11.52
,  Groundwater,34.28,-79.23,6.56,-18.06,98.60,78.46,-49.82,10.11
,  Noise,47.38,-63.98,21.97,-6.69,-90.27,86.28,-26.27,-4.51
,  Solid Waste,24.80,-86.15,0.52,-24.12,92.55,60.13,-57.78,1.42
Water,,42.62,-72.49,12.76,-12.80,-47.45,82.72,-40.32,-4.99
,  Inorganic Fertilizers,32.86,-81.54,5.48,-20.05,91.19,75.23,-54.35,6.97
,  Light,47.14,-70.04,14.71,-9.47,-94.47,85.28,-34.28,-8.73
,  Solid Waste,50.86,-57.88,22.62,-4.04,-88.18,90.66,-26.14,-1.73
,  Surface water,39.62,-80.49,8.24,-17.62,-98.33,79.69,-46.51,-16.49
