Polluted element,Type of pollution,Georgia_Albany_2016,Georgia_Detroit_2019,Georgia_Las Vegas_2022,Michigan_Columbus_2019,Michigan_Flint_2017,Nevada_Port Huron_2022,Nevada_Reno_2016,Nevada_Washington_2017,Average
Air,,3.68,53.53,60.77,-34.54,-42.37,-16.69,-8.51,-49.86,-4.25
,  Light,2.15,-30.30,60.87,-75.81,-41.22,-18.91,80.35,37.03,1.77
,  Oxygen-depletion,7.89,99.65,63.10,56.45,-42.57,-5.80,-48.98,-87.86,5.24
,  Surface water,1.01,91.23,58.35,-84.26,-43.33,-25.35,-56.89,-98.74,-19.75
Water,,0.56,-33.36,-27.16,6.27,-43.75,-20.35,31.32,-13.35,-12.48
,  Noise,1.44,-33.56,-68.85,-80.79,-42.58,-24.85,73.73,-93.44,-33.61
,  Oxygen-depletion,0.53,-37.17,-70.96,43.62,-44.50,-26.71,-61.03,14.89,-22.67
,  Thermal,-0.29,-29.34,58.34,55.98,-44.16,-9.48,81.26,38.49,18.85
Average,,2.12,10.09,16.81,-14.14,-43.06,-18.52,11.41,-31.61,-8.36
,  ,2.12,10.09,16.81,-14.14,-43.06,-18.52,11.41,-31.61,-8.36
