Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q1,February,9.31
Service,School,Q4,January,11.52
Service,School,Q1,October,12.31
Service,School,Q4,November,11.86
Production,Hospital,Q1,February,16.17
Production,Hospital,Q4,January,23.26
Production,Hospital,Q1,October,28.48
Production,Hospital,Q4,November,29.85
Residential,Factory,Q1,February,37.37
Residential,Factory,Q4,January,43.54
Residential,Factory,Q1,October,49.51
Residential,Factory,Q4,November,50.54
Service,Workshop,Q1,February,53.03
Service,Workshop,Q4,January,53.39
Service,Workshop,Q1,October,58.16
Service,Workshop,Q4,November,62.23
Production,Hotel,Q1,February,65.84
Production,Hotel,Q4,January,71.7
Production,Hotel,Q1,October,75.8
Production,Hotel,Q4,November,83.2
Residential,House,Q1,February,85.11
Residential,House,Q4,January,88.28
Residential,House,Q1,October,89.79
Residential,House,Q4,November,96.85
