Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q3,July,California,Berkeley,4.57
Residential,Apartment,Q4,August,Oregon,Salem,4.12
Residential,Apartment,Q3,October,California,Portland,6.49
Residential,Apartment,Q4,December,Oregon,Berkeley,6.71
Residential,Apartment,Q3,November,California,Salem,8.12
Residential,Apartment,Q4,July,Oregon,Portland,9.44
Service,Hotel,Q3,July,California,Berkeley,10.44
Service,Hotel,Q4,August,Oregon,Salem,13.63
Service,Hotel,Q3,October,California,Portland,17.18
Service,Hotel,Q4,December,Oregon,Berkeley,19.53
Service,Hotel,Q3,November,California,Salem,20.79
Service,Hotel,Q4,July,Oregon,Portland,20.64
Production,House,Q3,July,California,Berkeley,19.3
Production,House,Q4,August,Oregon,Salem,23.31
Production,House,Q3,October,California,Portland,19.48
Production,House,Q4,December,Oregon,Berkeley,24.17
Production,House,Q3,November,California,Salem,26.05
Production,House,Q4,July,Oregon,Portland,29.42
Residential,Hospital,Q3,July,California,Berkeley,30.96
Residential,Hospital,Q4,August,Oregon,Salem,35.55
Residential,Hospital,Q3,October,California,Portland,36.76
Residential,Hospital,Q4,December,Oregon,Berkeley,37.93
Residential,Hospital,Q3,November,California,Salem,38.41
Residential,Hospital,Q4,July,Oregon,Portland,38.61
Service,Library,Q3,July,California,Berkeley,40.1
Service,Library,Q4,August,Oregon,Salem,41.31
Service,Library,Q3,October,California,Portland,38.82
Service,Library,Q4,December,Oregon,Berkeley,42.15
Service,Library,Q3,November,California,Salem,56.0
Service,Library,Q4,July,Oregon,Portland,57.75
Production,Administration,Q3,July,California,Berkeley,58.95
Production,Administration,Q4,August,Oregon,Salem,66.1
Production,Administration,Q3,October,California,Portland,67.51
Production,Administration,Q4,December,Oregon,Berkeley,67.24
Production,Administration,Q3,November,California,Salem,69.18
Production,Administration,Q4,July,Oregon,Portland,69.37
Residential,Factory,Q3,July,California,Berkeley,74.36
Residential,Factory,Q4,August,Oregon,Salem,75.28
Residential,Factory,Q3,October,California,Portland,76.75
Residential,Factory,Q4,December,Oregon,Berkeley,80.54
Residential,Factory,Q3,November,California,Salem,84.25
Residential,Factory,Q4,July,Oregon,Portland,85.94
Service,Workshop,Q3,July,California,Berkeley,86.17
Service,Workshop,Q4,August,Oregon,Salem,86.54
Service,Workshop,Q3,October,California,Portland,88.37
Service,Workshop,Q4,December,Oregon,Berkeley,88.94
Service,Workshop,Q3,November,California,Salem,93.38
Service,Workshop,Q4,July,Oregon,Portland,95.06
