Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Concert,Q3,August,Florida,Fort Lauderdale,13.57
Culture,Concert,Q1,September,Florida,Fort Lauderdale,14.82
Culture,Concert,Q3,July,Florida,Fort Lauderdale,15.04
Culture,Concert,Q1,January,Florida,Fort Lauderdale,17.6
Culture,Concert,Q3,February,Florida,Fort Lauderdale,20.5
Culture,Concert,Q1,March,Florida,Fort Lauderdale,25.03
Residential,Museum,Q3,August,Florida,Fort Lauderdale,35.3
Residential,Museum,Q1,September,Florida,Fort Lauderdale,36.88
Residential,Museum,Q3,July,Florida,Fort Lauderdale,42.97
Residential,Museum,Q1,January,Florida,Fort Lauderdale,47.11
Residential,Museum,Q3,February,Florida,Fort Lauderdale,53.83
Residential,Museum,Q1,March,Florida,Fort Lauderdale,58.1
Culture,Hotel,Q3,August,Florida,Fort Lauderdale,61.37
Culture,Hotel,Q1,September,Florida,Fort Lauderdale,61.92
Culture,Hotel,Q3,July,Florida,Fort Lauderdale,66.33
Culture,Hotel,Q1,January,Florida,Fort Lauderdale,69.82
Culture,Hotel,Q3,February,Florida,Fort Lauderdale,69.72
Culture,Hotel,Q1,March,Florida,Fort Lauderdale,73.98
Residential,Apartment,Q3,August,Florida,Fort Lauderdale,74.03
Residential,Apartment,Q1,September,Florida,Fort Lauderdale,73.62
Residential,Apartment,Q3,July,Florida,Fort Lauderdale,76.8
Residential,Apartment,Q1,January,Florida,Fort Lauderdale,76.13
Residential,Apartment,Q3,February,Florida,Fort Lauderdale,79.34
Residential,Apartment,Q1,March,Florida,Fort Lauderdale,80.47
Culture,House,Q3,August,Florida,Fort Lauderdale,83.98
Culture,House,Q1,September,Florida,Fort Lauderdale,83.97
Culture,House,Q3,July,Florida,Fort Lauderdale,88.44
Culture,House,Q1,January,Florida,Fort Lauderdale,95.39
Culture,House,Q3,February,Florida,Fort Lauderdale,97.97
Culture,House,Q1,March,Florida,Fort Lauderdale,98.01
