Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Apartment,Q3,July,0.76
Residential,Apartment,Q4,September,2.46
Residential,Apartment,Q3,October,3.19
Residential,Apartment,Q4,November,7.61
Residential,Apartment,Q3,December,11.75
Residential,Apartment,Q4,July,17.57
Culture,House,Q3,July,26.85
Culture,House,Q4,September,27.53
Culture,House,Q3,October,27.17
Culture,House,Q4,November,34.83
Culture,House,Q3,December,42.51
Culture,House,Q4,July,43.12
Residential,Museum,Q3,July,43.33
Residential,Museum,Q4,September,47.47
Residential,Museum,Q3,October,48.89
Residential,Museum,Q4,November,50.74
Residential,Museum,Q3,December,51.52
Residential,Museum,Q4,July,53.21
Culture,Theatre,Q3,July,55.08
Culture,Theatre,Q4,September,55.48
Culture,Theatre,Q3,October,67.49
Culture,Theatre,Q4,November,71.44
Culture,Theatre,Q3,December,72.03
Culture,Theatre,Q4,July,80.1
Residential,Concert,Q3,July,90.2
Residential,Concert,Q4,September,91.99
Residential,Concert,Q3,October,90.12
Residential,Concert,Q4,November,97.61
Residential,Concert,Q3,December,98.05
Residential,Concert,Q4,July,97.29
