Polluted element,Type of pollution,California_Champaign_2016,California_Malibu_2018,California_Washington_2020,Georgia_Albany_2018,Georgia_Berkeley_2019,Georgia_Chicago_2020,Illinois_Columbus_2019,Illinois_Los-Angeles_2016,Illinois_Springfield_2018
Air,,58.46,-17.17,-82.89,27.69,-44.43,42.30,81.91,-60.21,9.61
,  Industrial,56.84,-22.06,-85.27,96.23,-47.61,39.10,75.75,-62.18,7.06
,  Inferior Irrigation,57.76,-14.52,-82.97,-5.41,-47.40,42.81,84.88,-60.98,10.57
,  Light,53.00,-29.78,-89.57,93.39,-47.89,32.63,71.07,-67.59,1.49
,  Surface water,58.98,-14.16,-80.70,50.73,-40.52,47.12,87.73,-56.97,13.58
,  Thermal,65.72,-5.33,-75.92,-96.49,-38.74,49.83,90.11,-53.33,15.37
Soil,,57.55,-15.11,-82.18,8.86,-41.86,43.80,82.50,-58.41,9.69
,  Industrial,64.97,-2.90,-72.98,-93.62,-39.62,51.96,91.93,-50.51,16.93
,  Light,55.09,-8.55,-82.30,-99.78,-37.49,48.03,87.84,-56.52,10.18
,  Noise,54.31,-30.22,-88.32,92.03,-46.66,34.64,71.58,-64.31,2.30
,  Solid Waste,55.60,-13.53,-82.54,47.29,-40.44,43.40,85.78,-59.61,10.82
,  Urban Activities,57.79,-20.36,-84.75,98.36,-45.10,40.98,75.38,-61.08,8.23
Water,,60.37,-12.80,-12.96,10.98,-38.96,44.31,83.85,-58.15,12.54
,  Inorganic Fertilizers,56.39,-16.49,-83.69,98.61,-42.62,41.77,79.72,-60.93,6.01
,  Noise,64.10,-7.13,86.76,-97.10,-36.86,48.92,89.76,-58.25,15.75
,  Oxygen-depletion,61.57,-13.42,-81.57,49.12,-39.63,41.75,84.83,-57.55,8.02
,  Thermal,55.59,-25.14,84.78,94.68,-45.24,36.81,73.53,-63.99,6.12
,  Urban Activities,64.18,-1.82,-71.09,-90.39,-30.43,52.29,91.43,-50.02,26.78
