Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2020,Temperature,0-10,2.35
2020,Wind,31-40,26.05
2020,Humidity,Calm,5.31
2020,Temperature,Storm,6.88
2020,Wind,Breeze,8.56
2020,Humidity,Low,9.98
2020,Temperature,High,9.13
2020,Wind,0-10,13.17
2020,Humidity,31-40,13.71
2022,Temperature,0-10,16.73
2022,Wind,31-40,18.85
2022,Humidity,Calm,19.22
2022,Temperature,Storm,19.8
2022,Wind,Breeze,20.55
2022,Humidity,Low,21.5
2022,Temperature,High,19.64
2022,Wind,0-10,25.37
2022,Humidity,31-40,26.58
