Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q2,June,Nevada,Reno,24.06
Residential,Apartment,Q3,May,Nevada,Boulder City,34.73
Residential,Apartment,Q2,August,Nevada,Reno,37.19
Residential,Apartment,Q3,September,Nevada,Boulder City,37.6
Culture,Hotel,Q2,June,Nevada,Reno,38.31
Culture,Hotel,Q3,May,Nevada,Boulder City,44.66
Culture,Hotel,Q2,August,Nevada,Reno,45.55
Culture,Hotel,Q3,September,Nevada,Boulder City,52.09
Residential,Museum,Q2,June,Nevada,Reno,54.53
Residential,Museum,Q3,May,Nevada,Boulder City,56.84
Residential,Museum,Q2,August,Nevada,Reno,59.77
Residential,Museum,Q3,September,Nevada,Boulder City,61.38
Culture,Theatre,Q2,June,Nevada,Reno,66.51
Culture,Theatre,Q3,May,Nevada,Boulder City,73.02
Culture,Theatre,Q2,August,Nevada,Reno,74.19
Culture,Theatre,Q3,September,Nevada,Boulder City,78.65
Residential,Concert,Q2,June,Nevada,Reno,82.49
Residential,Concert,Q3,May,Nevada,Boulder City,95.76
Residential,Concert,Q2,August,Nevada,Reno,98.93
Residential,Concert,Q3,September,Nevada,Boulder City,98.41
