Polluted element,Type of pollution,Florida_Albany_2020,Florida_Rochester_2021,Georgia_Columbus_2021,Georgia_Hastings_2018,Georgia_Tampa_2015,Minnesota_Fort Lauderdale_2018,Minnesota_Minneapolis_2020
Air,,41.15,-90.23,11.91,-22.14,83.93,68.19,-61.11
,  Chemical,44.13,-87.09,14.37,-16.13,85.18,69.37,-55.30
,  Industrial,41.23,-91.19,11.61,-22.48,85.38,69.77,-60.11
,  Light,38.08,-92.41,9.75,-27.82,81.22,65.44,-67.91
Soil,,38.31,-62.13,9.58,-26.59,81.96,67.19,-64.01
,  Inferior Irrigation,34.34,-4.77,11.30,-27.35,84.53,68.64,-59.20
,  Inorganic Fertilizers,37.51,-92.81,7.72,-31.03,80.32,65.30,-69.23
,  Noise,43.10,-88.82,9.71,-21.40,81.03,67.63,-63.59
Water,,43.98,-88.43,14.47,-19.99,85.97,66.17,-55.93
,  Groundwater,45.06,-88.42,19.77,-15.39,88.88,62.88,-44.44
,  Solid Waste,46.58,-87.30,13.97,-19.33,86.71,70.59,-56.52
,  Thermal,40.29,-89.57,9.68,-25.24,82.31,65.03,-66.83
