Quarter,Month,Production_Factory,Production_Hotel,Residential_Apartment,Residential_School,Residential_Workshop,Service_Hospital,Service_House
Q2,,84.73,39.23,6.17,53.90,91.97,63.80,21.21
,  December,87.84,48.65,18.27,60.00,94.70,80.28,33.84
,  June,84.73,39.23,6.17,53.90,91.97,63.80,21.21
,  November,87.80,42.58,6.49,55.68,93.63,71.10,30.03
Q4,,84.59,41.93,6.35,53.05,88.05,68.86,28.04
,  April,84.59,41.93,6.35,54.35,88.05,68.86,28.04
,  June,90.71,49.76,21.53,63.24,94.17,81.87,38.83
,  October,88.75,44.78,9.00,53.05,89.38,71.02,31.37
Minimum,,84.59,39.23,6.17,53.05,88.05,63.80,21.21
,  ,84.59,39.23,6.17,53.05,88.05,63.80,21.21
