Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Workshop,Q2,May,2.61
Production,Workshop,Q1,April,3.0
Production,Workshop,Q2,June,4.52
Production,Workshop,Q1,March,7.79
Production,Workshop,Q2,February,8.85
Production,Workshop,Q1,May,7.85
Residential,Factory,Q2,May,9.93
Residential,Factory,Q1,April,11.95
Residential,Factory,Q2,June,14.99
Residential,Factory,Q1,March,15.84
Residential,Factory,Q2,February,17.68
Residential,Factory,Q1,May,20.93
Service,Apartment,Q2,May,26.37
Service,Apartment,Q1,April,27.57
Service,Apartment,Q2,June,34.29
Service,Apartment,Q1,March,35.59
Service,Apartment,Q2,February,36.23
Service,Apartment,Q1,May,37.47
Production,House,Q2,May,38.26
Production,House,Q1,April,34.9
Production,House,Q2,June,49.47
Production,House,Q1,March,52.2
Production,House,Q2,February,55.33
Production,House,Q1,May,55.02
Residential,Library,Q2,May,58.47
Residential,Library,Q1,April,59.58
Residential,Library,Q2,June,61.1
Residential,Library,Q1,March,0.09
Residential,Library,Q2,February,65.97
Residential,Library,Q1,May,65.22
Service,Hospital,Q2,May,75.1
Service,Hospital,Q1,April,79.46
Service,Hospital,Q2,June,80.71
Service,Hospital,Q1,March,81.19
Service,Hospital,Q2,February,82.16
Service,Hospital,Q1,May,81.7
Production,School,Q2,May,84.98
Production,School,Q1,April,85.7
Production,School,Q2,June,86.67
Production,School,Q1,March,89.43
Production,School,Q2,February,92.11
Production,School,Q1,May,93.01
