Polluted element,Type of pollution,Florida_Columbia_2018,Florida_Fort Lauderdale_2020,Maryland_Baltimore_2022,Maryland_Tampa_2016,Average
Air,Chemical,82.23,32.53,-3.49,-60.04,12.81
,Groundwater,-54.50,3.61,-33.13,-92.79,-44.20
,Industrial,80.29,12.93,-20.50,44.69,29.35
,Thermal,-46.76,27.10,-3.34,59.64,9.16
Soil,Chemical,73.08,2.99,87.83,-92.35,17.89
,Inorganic Fertilizers,75.26,8.48,-26.51,44.42,25.41
,Light,82.70,24.99,-19.48,51.33,34.88
,Oxygen-depletion,-43.83,31.85,-4.21,64.16,11.99
Water,Noise,-44.34,29.29,-15.70,-68.64,-24.85
,Oxygen-depletion,70.20,0.96,-41.92,-95.05,-16.45
,Surface water,-53.78,6.52,-26.44,40.93,-8.19
,Urban Activities,-47.81,18.96,-19.88,45.99,-0.69
Average,,14.40,16.68,-10.56,-4.81,3.93
