Characteristic,Intensity,2016_California_Lenox,2016_California_San Francisco,2017_Massachusetts_Cambridge,2017_Massachusetts_Malibu,Maximum
Humidity,,13.37,25.52,2.99,17.24,25.52
,  Calm,9.63,19.23,1.62,15.89,19.23
,  Medium,6.09,12.45,0.70,15.57,15.57
,  Storm,13.37,25.52,2.99,17.24,25.52
Wind,,14.06,26.84,5.50,20.04,26.84
,  Breeze,12.04,17.02,3.35,17.67,17.67
,  High,8.28,22.54,1.86,14.98,22.54
,  Medium,14.06,26.84,5.50,20.04,26.84
Maximum,,14.06,26.84,5.50,20.04,26.84
,  ,14.06,26.84,5.50,20.04,26.84
