Polluted element,Type of pollution,Illinois_Chicago_2019,Illinois_Lenox_2021,Illinois_Springfield_2017,Massachusetts_Boston_2019,Massachusetts_Champaign_2021,Average
Air,,11.01,-14.58,1.60,44.00,5.61,9.53
,  Noise,19.64,-12.67,69.61,-37.82,-77.68,-7.78
,  Surface water,-0.78,-18.29,0.45,86.86,49.21,23.49
,  Urban Activities,14.16,-12.79,-65.26,82.97,45.31,12.88
Soil,,15.39,-15.03,21.19,85.19,-59.66,9.42
,  Inorganic Fertilizers,12.47,-14.11,60.29,82.39,-83.50,11.51
,  Light,18.72,-11.77,66.75,88.23,-77.99,16.79
,  Oxygen-depletion,14.98,-19.21,-63.45,84.95,-17.48,-0.04
Water,,13.07,3.32,-23.60,-2.96,-40.44,-10.12
,  Chemical,11.15,43.88,64.15,-45.12,-84.15,-2.02
,  Groundwater,11.58,-22.66,-71.92,80.60,-86.83,-17.85
,  Inferior Irrigation,16.48,-11.26,-63.02,-44.37,49.66,-10.50
