Polluted element,Type of pollution,Nevada_Portland_2022,Nevada_Reno_2022,Oregon_Boulder City_2019,Oregon_Redmond_2019,Oregon_Salem_2019
Air,,-20.35,-21.70,64.84,11.60,-36.20
,  Industrial,49.76,77.00,98.90,10.65,-67.02
,  Noise,-92.69,-58.48,82.73,0.30,-74.06
,  Thermal,39.26,-54.46,84.74,4.74,59.03
,  Urban Activities,-77.72,-50.84,-7.01,30.70,-62.74
Soil,,-16.72,11.32,-26.21,16.76,29.14
,  Inferior Irrigation,-78.19,-51.41,-9.28,18.09,-65.68
,  Inorganic Fertilizers,48.89,-53.78,-43.64,10.35,59.12
,  Light,-91.55,71.88,-45.18,3.60,54.61
,  Noise,53.95,78.61,-6.75,35.01,68.53
Average,,-18.54,-5.18,19.31,14.18,-3.53
,  ,-18.54,-5.18,19.31,14.18,-3.53
