Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Wind,Calm,26.66
2022,Temperature,Breeze,5.98
2022,Wind,Storm,6.22
2022,Temperature,0-10,5.49
2022,Wind,21-30,27.27
2022,Temperature,Calm,12.62
2020,Wind,Calm,14.93
2020,Temperature,Breeze,15.78
2020,Wind,Storm,16.8
2020,Temperature,0-10,16.66
2020,Wind,21-30,16.18
2020,Temperature,Calm,19.59
2021,Wind,Calm,20.19
2021,Temperature,Breeze,21.84
2021,Wind,Storm,20.17
2021,Temperature,0-10,24.22
2021,Wind,21-30,26.04
2021,Temperature,Calm,27.64
