Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Import,2022,Q1,Beverage,Juice,897.14
Import,2022,Q1,Cereals,Coffee,902.81
Import,2022,Q1,Dairy,Seeds,776.56
Import,2022,Q1,Beverage,Wheat,649.71
Import,2022,Q1,Cereals,Cream,907.8
Import,2022,Q1,Dairy,Butter,17.82
Import,2022,Q1,Beverage,Yoghurt,531.8
Import,2022,Q1,Cereals,Juice,915.83
Import,2022,Q1,Dairy,Coffee,917.65
Import,2016,Q1,Beverage,Juice,534.09
Import,2016,Q1,Cereals,Coffee,154.61
Import,2016,Q1,Dairy,Seeds,410.11
Import,2016,Q1,Beverage,Wheat,924.48
Import,2016,Q1,Cereals,Cream,35.92
Import,2016,Q1,Dairy,Butter,296.08
Import,2016,Q1,Beverage,Yoghurt,692.31
Import,2016,Q1,Cereals,Juice,309.34
Import,2016,Q1,Dairy,Coffee,695.59
Import,2022,Q1,Beverage,Juice,827.11
Import,2022,Q1,Cereals,Coffee,191.87
Import,2022,Q1,Dairy,Seeds,74.27
Import,2022,Q1,Beverage,Wheat,590.76
Import,2022,Q1,Cereals,Cream,985.44
Import,2022,Q1,Dairy,Butter,348.48
Import,2022,Q1,Beverage,Yoghurt,989.52
Import,2022,Q1,Cereals,Juice,991.13
Import,2022,Q1,Dairy,Coffee,351.76
Import,2016,Q1,Beverage,Juice,872.73
Import,2016,Q1,Cereals,Coffee,623.62
Import,2016,Q1,Dairy,Seeds,880.61
Import,2016,Q1,Beverage,Wheat,753.48
Import,2016,Q1,Cereals,Cream,245.5
Import,2016,Q1,Dairy,Butter,245.46
Import,2016,Q1,Beverage,Yoghurt,886.43
Import,2016,Q1,Cereals,Juice,504.86
Import,2016,Q1,Dairy,Coffee,508.96
