Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q2,May,1.76
Production,Factory,Q4,June,2.69
Production,Factory,Q2,April,4.69
Production,Factory,Q4,November,7.42
Production,Factory,Q2,December,8.85
Production,Factory,Q4,October,9.28
Culture,Workshop,Q2,May,11.07
Culture,Workshop,Q4,June,16.09
Culture,Workshop,Q2,April,17.56
Culture,Workshop,Q4,November,22.25
Culture,Workshop,Q2,December,27.24
Culture,Workshop,Q4,October,28.2
Residential,Concert,Q2,May,29.3
Residential,Concert,Q4,June,30.65
Residential,Concert,Q2,April,39.64
Residential,Concert,Q4,November,40.19
Residential,Concert,Q2,December,41.11
Residential,Concert,Q4,October,48.64
Production,Museum,Q2,May,50.21
Production,Museum,Q4,June,50.83
Production,Museum,Q2,April,52.22
Production,Museum,Q4,November,53.82
Production,Museum,Q2,December,54.43
Production,Museum,Q4,October,54.16
Culture,Theatre,Q2,May,56.58
Culture,Theatre,Q4,June,50.89
Culture,Theatre,Q2,April,62.76
Culture,Theatre,Q4,November,63.47
Culture,Theatre,Q2,December,67.09
Culture,Theatre,Q4,October,68.51
Residential,House,Q2,May,70.95
Residential,House,Q4,June,74.37
Residential,House,Q2,April,76.89
Residential,House,Q4,November,77.88
Residential,House,Q2,December,80.47
Residential,House,Q4,October,83.56
Production,Hotel,Q2,May,84.03
Production,Hotel,Q4,June,89.81
Production,Hotel,Q2,April,93.44
Production,Hotel,Q4,November,95.93
Production,Hotel,Q2,December,99.27
Production,Hotel,Q4,October,99.03
