Characteristic,Intensity,2016_Maryland_Las Vegas,2016_Nevada_Baltimore,2018_Maryland_Columbia,2018_Nevada_Reno,2019_Maryland_Aberdeen,2019_Nevada_Boulder City
Humidity,,26.14,10.54,2.65,21.31,17.31,18.70
,  0-10,26.14,10.54,2.65,17.86,17.31,18.70
,  11-20,24.61,1.96,2.19,21.31,11.39,3.02
,  High,25.65,7.88,1.15,18.43,13.24,6.41
Temperature,,26.68,10.26,5.29,24.45,18.12,19.72
,  31-40,24.16,10.26,4.53,22.45,16.95,10.05
,  High,5.48,2.99,5.29,24.45,18.12,19.72
,  Low,26.68,4.38,2.09,20.96,14.44,8.71
Maximum,,26.68,10.54,5.29,24.45,18.12,19.72
,  ,26.68,10.54,5.29,24.45,18.12,19.72
