Polluted element,Type of pollution,Florida_Albany,Florida_Boston,Georgia_Fort Lauderdale,Georgia_Lenox,Georgia_Washington,Massachusetts_Cambridge,Massachusetts_Columbus,Massachusetts_Tampa
Air,,-80.54,56.32,-19.62,37.00,32.13,7.53,79.95,-50.51
,  Industrial,-78.50,61.67,-18.36,39.05,0.38,10.82,84.87,-48.19
,  Noise,-80.09,56.38,-18.47,35.59,-3.28,7.63,76.78,-47.86
,  Oxygen-depletion,-83.01,50.93,-22.02,36.35,99.29,4.13,78.21,-55.48
Soil,,-77.90,59.59,-15.15,38.78,-20.08,12.62,82.48,-43.13
,  Chemical,-81.76,54.98,-20.56,36.13,36.48,9.50,80.41,-50.29
,  Surface water,-76.10,57.65,-14.28,38.40,2.85,15.29,80.90,-46.55
,  Urban Activities,-75.84,66.13,-10.61,41.82,-99.56,13.07,86.14,-32.55
Water,,-79.51,57.96,-17.12,38.06,-0.44,11.14,81.54,-48.67
,  Groundwater,-82.40,52.53,-21.82,35.86,99.78,6.58,79.00,-54.44
,  Inorganic Fertilizers,-77.81,65.40,-14.25,40.14,-99.96,12.05,85.44,-43.19
,  Light,-78.31,55.96,-15.29,38.19,-1.15,14.79,80.19,-48.39
Average,,-79.31,57.96,-17.30,37.95,3.87,10.43,81.33,-47.44
,  ,-79.31,57.96,-17.30,37.95,3.87,10.43,81.33,-47.44
