Characteristic,Intensity,2016_California_Hastings,2016_Minnesota_Berkeley,2019_California_San Francisco,2019_Minnesota_Rochester,2020_California_Minneapolis
Humidity,,23.77,17.29,8.11,26.41,26.76
,  21-30,23.77,17.29,8.11,10.23,26.76
,  Calm,14.23,10.40,2.60,26.41,19.80
,  Medium,5.54,14.73,5.94,0.11,23.40
Temperature,,18.16,15.79,6.90,24.88,23.04
,  11-20,12.97,7.14,0.29,22.63,18.63
,  Breeze,14.07,10.31,1.75,24.88,21.37
,  Low,18.16,15.79,6.90,8.19,23.04
Wind,,17.19,15.13,7.86,23.09,17.06
,  11-20,5.53,15.13,7.86,9.33,16.61
,  21-30,14.44,10.05,1.79,21.14,17.06
,  Storm,17.19,7.73,1.92,23.09,16.71
Maximum,,23.77,17.29,8.11,26.41,26.76
,  ,23.77,17.29,8.11,26.41,26.76
