Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2018,Humidity,Medium,0.23
2018,Wind,High,1.44
2018,Temperature,Calm,1.7
2018,Humidity,Breeze,3.4
2018,Wind,11-20,4.77
2018,Temperature,0-10,4.59
2018,Humidity,31-40,26.31
2018,Wind,Medium,7.2
2018,Temperature,High,9.52
2022,Humidity,Medium,13.27
2022,Wind,High,14.4
2022,Temperature,Calm,17.71
2022,Humidity,Breeze,19.58
2022,Wind,11-20,20.2
2022,Temperature,0-10,23.12
2022,Humidity,31-40,22.42
2022,Wind,Medium,22.51
2022,Temperature,High,26.63
