Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2016,Wind,Breeze,0.69
2016,Temperature,Storm,2.89
2016,Humidity,31-40,3.96
2016,Wind,0-10,5.97
2016,Temperature,Low,6.18
2016,Humidity,High,8.24
2021,Wind,Breeze,10.13
2021,Temperature,Storm,11.48
2021,Humidity,31-40,12.91
2021,Wind,0-10,13.82
2021,Temperature,Low,12.39
2021,Humidity,High,15.86
2019,Wind,Breeze,14.79
2019,Temperature,Storm,23.01
2019,Humidity,31-40,21.66
2019,Wind,0-10,21.65
2019,Temperature,Low,23.18
2019,Humidity,High,25.55
