Polluted element,Type of pollution,Florida_Cambridge,Florida_Tampa,Massachusetts_Boston,Massachusetts_Fort Lauderdale,Massachusetts_Lenox
Air,,-17.36,-23.51,-43.31,-20.20,20.03
,  Chemical,44.85,-49.55,-66.02,-26.43,12.99
,  Industrial,-79.69,-43.22,-63.44,-14.58,28.48
,  Light,-17.23,22.25,-0.47,-19.59,18.61
Soil,,-35.28,20.29,-0.66,44.01,25.54
,  Groundwater,48.36,78.97,62.02,97.00,24.82
,  Inferior Irrigation,-73.86,-40.51,-67.66,-11.65,28.74
,  Oxygen-depletion,-80.33,22.39,3.67,46.68,23.05
Water,,-58.12,-0.96,1.19,-18.88,19.02
,  Noise,-16.43,87.61,2.17,-18.72,4.86
,  Solid Waste,-74.53,-42.39,66.77,-12.62,29.50
,  Surface water,-83.40,-48.09,-65.37,-25.31,22.71
Average,,-36.92,-1.39,-14.26,1.64,21.53
,  ,-36.92,-1.39,-14.26,1.64,21.53
