Quarter,Month,Culture_Hotel,Culture_Museum,Production_Concert,Production_Factory,Residential_House,Residential_Theatre,Residential_Workshop,Minimum
Q2,August,30.45,77.43,44.41,91.92,10.94,60.84,94.67,10.94
,December,22.67,71.98,43.92,83.35,6.88,54.51,97.75,6.88
,July,13.52,65.64,36.12,76.07,2.78,50.54,94.64,2.78
Q3,August,10.85,60.88,30.21,77.50,2.51,48.37,92.17,2.51
,June,27.32,70.07,44.48,87.67,5.95,53.02,97.60,5.95
,November,13.79,67.29,39.93,79.49,4.74,53.90,95.57,4.74
Q4,April,29.30,76.61,45.12,88.03,9.54,59.25,98.30,9.54
,October,10.68,70.66,42.71,82.85,5.47,54.87,95.06,5.47
,September,11.60,62.90,33.95,77.25,2.40,50.68,92.68,2.40
Minimum,,10.68,60.88,30.21,76.07,2.40,48.37,92.17,2.40
