State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Illinois,Chicago,Water,Oxygen-depletion,5.71
Illinois,Chicago,Air,Chemical,9.99
Illinois,Chicago,Water,Groundwater,12.66
Illinois,Chicago,Air,Noise,16.07
Illinois,Chicago,Water,Thermal,19.39
Illinois,Chicago,Air,Light,23.67
Florida,Springfield,Water,Oxygen-depletion,29.37
Florida,Springfield,Air,Chemical,-91.11
Florida,Springfield,Water,Groundwater,39.92
Florida,Springfield,Air,Noise,41.68
Florida,Springfield,Water,Thermal,41.73
Florida,Springfield,Air,Light,-87.06
Nevada,Champaign,Water,Oxygen-depletion,-81.99
Nevada,Champaign,Air,Chemical,-80.0
Nevada,Champaign,Water,Groundwater,-80.66
Nevada,Champaign,Air,Noise,49.9
Nevada,Champaign,Water,Thermal,54.36
Nevada,Champaign,Air,Light,-70.89
Illinois,Fort Lauderdale,Water,Oxygen-depletion,62.59
Illinois,Fort Lauderdale,Air,Chemical,63.8
Illinois,Fort Lauderdale,Water,Groundwater,-56.84
Illinois,Fort Lauderdale,Air,Noise,74.53
Illinois,Fort Lauderdale,Water,Thermal,77.32
Illinois,Fort Lauderdale,Air,Light,78.91
Florida,Tampa,Water,Oxygen-depletion,-49.81
Florida,Tampa,Air,Chemical,-49.46
Florida,Tampa,Water,Groundwater,83.89
Florida,Tampa,Air,Noise,-43.73
Florida,Tampa,Water,Thermal,-41.65
Florida,Tampa,Air,Light,-40.7
Nevada,Reno,Water,Oxygen-depletion,89.18
Nevada,Reno,Air,Chemical,97.27
Nevada,Reno,Water,Groundwater,97.37
Nevada,Reno,Air,Noise,99.17
Nevada,Reno,Water,Thermal,-26.18
Nevada,Reno,Air,Light,-21.19
Illinois,Boulder City,Water,Oxygen-depletion,-15.97
Illinois,Boulder City,Air,Chemical,-11.16
Illinois,Boulder City,Water,Groundwater,-11.02
Illinois,Boulder City,Air,Noise,-5.06
Illinois,Boulder City,Water,Thermal,-3.69
Illinois,Boulder City,Air,Light,-2.97
