Polluted element,Type of pollution,Massachusetts_Boston_2017,Massachusetts_Rochester_2022,Minnesota_Hastings_2022,Minnesota_Portland_2017,Oregon_Cambridge_2022,Oregon_Minneapolis_2017,Oregon_Redmond_2022
Air,,-33.25,23.54,-15.59,-21.96,-16.20,37.25,-14.29
,  Groundwater,-32.83,58.46,84.34,-85.77,-15.42,68.13,24.30
,  Noise,-40.57,50.55,-53.64,36.74,-22.27,66.07,6.69
,  Oxygen-depletion,-24.13,-68.70,-44.93,49.14,-6.56,75.18,-98.44
,  Thermal,-35.47,53.87,-48.13,-87.95,-20.56,-60.36,10.29
Water,,32.91,-9.17,50.75,-83.99,-13.83,-25.31,-8.80
,  Chemical,94.26,-80.24,83.39,-85.20,-20.54,-59.41,23.20
,  Light,92.92,51.85,-51.58,-90.78,-20.55,-61.21,9.37
,  Noise,-24.37,62.49,86.11,-79.56,-2.14,75.68,-94.64
,  Surface water,-31.19,-70.77,85.09,-80.42,-12.09,-56.31,26.85
