State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Nevada,Boulder City,2016,Air,Light,2.6
Nevada,Boulder City,2016,Soil,Thermal,2.56
Nevada,Boulder City,2016,Water,Urban Activities,9.78
Nevada,Boulder City,2016,Air,Inorganic Fertilizers,11.66
Nevada,Boulder City,2016,Soil,Surface water,13.1
Nevada,Boulder City,2016,Water,Oxygen-depletion,16.11
Nevada,Boulder City,2016,Air,Chemical,20.19
Nevada,Boulder City,2016,Soil,Groundwater,23.09
Nevada,Boulder City,2016,Water,Light,24.53
Nevada,Boulder City,2016,Air,Thermal,28.23
Nevada,Boulder City,2016,Soil,Urban Activities,30.99
Nevada,Boulder City,2016,Water,Inorganic Fertilizers,-97.92
Oregon,Las Vegas,2017,Air,Light,-95.68
Oregon,Las Vegas,2017,Soil,Thermal,-94.6
Oregon,Las Vegas,2017,Water,Urban Activities,33.49
Oregon,Las Vegas,2017,Air,Inorganic Fertilizers,37.3
Oregon,Las Vegas,2017,Soil,Surface water,-90.79
Oregon,Las Vegas,2017,Water,Oxygen-depletion,-87.58
Oregon,Las Vegas,2017,Air,Chemical,-86.95
Oregon,Las Vegas,2017,Soil,Groundwater,-84.66
Oregon,Las Vegas,2017,Water,Light,45.7
Oregon,Las Vegas,2017,Air,Thermal,-82.61
Oregon,Las Vegas,2017,Soil,Urban Activities,-81.8
Oregon,Las Vegas,2017,Water,Inorganic Fertilizers,47.55
Florida,Portland,2018,Air,Light,-78.69
Florida,Portland,2018,Soil,Thermal,-77.49
Florida,Portland,2018,Water,Urban Activities,-76.93
Florida,Portland,2018,Air,Inorganic Fertilizers,-75.18
Florida,Portland,2018,Soil,Surface water,-74.99
Florida,Portland,2018,Water,Oxygen-depletion,-73.89
Florida,Portland,2018,Air,Chemical,-67.95
Florida,Portland,2018,Soil,Groundwater,-66.1
Florida,Portland,2018,Water,Light,-65.48
Florida,Portland,2018,Air,Thermal,64.69
Florida,Portland,2018,Soil,Urban Activities,65.23
Florida,Portland,2018,Water,Inorganic Fertilizers,-63.22
Nevada,Salem,2016,Air,Light,-61.05
Nevada,Salem,2016,Soil,Thermal,-57.83
Nevada,Salem,2016,Water,Urban Activities,72.0
Nevada,Salem,2016,Air,Inorganic Fertilizers,-53.01
Nevada,Salem,2016,Soil,Surface water,-53.5
Nevada,Salem,2016,Water,Oxygen-depletion,-52.58
Nevada,Salem,2016,Air,Chemical,78.75
Nevada,Salem,2016,Soil,Groundwater,79.09
Nevada,Salem,2016,Water,Light,80.34
Nevada,Salem,2016,Air,Thermal,-48.81
Nevada,Salem,2016,Soil,Urban Activities,79.28
Nevada,Salem,2016,Water,Inorganic Fertilizers,-46.16
Oregon,Fort Lauderdale,2017,Air,Light,-45.46
Oregon,Fort Lauderdale,2017,Soil,Thermal,-43.44
Oregon,Fort Lauderdale,2017,Water,Urban Activities,-43.4
Oregon,Fort Lauderdale,2017,Air,Inorganic Fertilizers,83.16
Oregon,Fort Lauderdale,2017,Soil,Surface water,91.67
Oregon,Fort Lauderdale,2017,Water,Oxygen-depletion,92.99
Oregon,Fort Lauderdale,2017,Air,Chemical,-37.18
Oregon,Fort Lauderdale,2017,Soil,Groundwater,-34.07
Oregon,Fort Lauderdale,2017,Water,Light,-32.51
Oregon,Fort Lauderdale,2017,Air,Thermal,-30.04
Oregon,Fort Lauderdale,2017,Soil,Urban Activities,-29.76
Oregon,Fort Lauderdale,2017,Water,Inorganic Fertilizers,-27.33
Florida,Tampa,2018,Air,Light,-22.5
Florida,Tampa,2018,Soil,Thermal,-21.23
Florida,Tampa,2018,Water,Urban Activities,-22.45
Florida,Tampa,2018,Air,Inorganic Fertilizers,-19.02
Florida,Tampa,2018,Soil,Surface water,-18.03
Florida,Tampa,2018,Water,Oxygen-depletion,-14.86
Florida,Tampa,2018,Air,Chemical,-11.05
Florida,Tampa,2018,Soil,Groundwater,-7.41
Florida,Tampa,2018,Water,Light,-6.63
Florida,Tampa,2018,Air,Thermal,-3.31
Florida,Tampa,2018,Soil,Urban Activities,-2.73
Florida,Tampa,2018,Water,Inorganic Fertilizers,-1.55
