Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2016,Georgia,Columbus,Wind,Calm,1.53
2016,Georgia,Columbus,Temperature,Breeze,2.07
2016,Georgia,Columbus,Wind,Storm,3.42
2016,Georgia,Columbus,Temperature,11-20,4.34
2016,Georgia,Columbus,Wind,21-30,5.68
2016,Georgia,Columbus,Temperature,31-40,3.24
2018,Maryland,Washington,Wind,Calm,7.89
2018,Maryland,Washington,Temperature,Breeze,5.27
2018,Maryland,Washington,Wind,Storm,9.3
2018,Maryland,Washington,Temperature,11-20,10.91
2018,Maryland,Washington,Wind,21-30,11.44
2018,Maryland,Washington,Temperature,31-40,11.95
2021,Nevada,Baltimore,Wind,Calm,11.4
2021,Nevada,Baltimore,Temperature,Breeze,7.22
2021,Nevada,Baltimore,Wind,Storm,15.41
2021,Nevada,Baltimore,Temperature,11-20,15.75
2021,Nevada,Baltimore,Wind,21-30,17.01
2021,Nevada,Baltimore,Temperature,31-40,17.74
2016,Georgia,Columbia,Wind,Calm,19.14
2016,Georgia,Columbia,Temperature,Breeze,20.91
2016,Georgia,Columbia,Wind,Storm,21.5
2016,Georgia,Columbia,Temperature,11-20,22.18
2016,Georgia,Columbia,Wind,21-30,19.69
2016,Georgia,Columbia,Temperature,31-40,24.01
2018,Maryland,Aberdeen,Wind,Calm,20.13
2018,Maryland,Aberdeen,Temperature,Breeze,26.27
2018,Maryland,Aberdeen,Wind,Storm,21.3
2018,Maryland,Aberdeen,Temperature,11-20,22.35
2018,Maryland,Aberdeen,Wind,21-30,23.15
2018,Maryland,Aberdeen,Temperature,31-40,22.15
2021,Nevada,Las Vegas,Wind,Calm,8.53
2021,Nevada,Las Vegas,Temperature,Breeze,9.18
2021,Nevada,Las Vegas,Wind,Storm,9.61
2021,Nevada,Las Vegas,Temperature,11-20,1.45
2021,Nevada,Las Vegas,Wind,21-30,11.13
2021,Nevada,Las Vegas,Temperature,31-40,3.8
2016,Georgia,Reno,Wind,Calm,16.08
2016,Georgia,Reno,Temperature,Breeze,19.5
2016,Georgia,Reno,Wind,Storm,19.06
2016,Georgia,Reno,Temperature,11-20,19.52
2016,Georgia,Reno,Wind,21-30,20.65
2016,Georgia,Reno,Temperature,31-40,1.32
