Quarter,Month,Culture_House,Culture_Museum,Residential_Concert,Residential_Library,Service_Apartment,Service_School,Service_Theatre
Q1,August,45.45,80.30,71.80,34.06,60.27,17.68,98.33
,December,38.40,76.62,62.24,22.02,46.37,9.84,87.23
,March,41.38,80.72,66.77,31.95,53.14,12.41,97.21
Q3,August,34.62,73.32,61.85,18.19,46.24,7.81,84.64
,February,43.27,81.01,67.23,32.99,56.78,11.14,98.53
,November,39.53,75.48,64.89,27.56,44.90,11.98,88.01
Q4,January,44.30,82.42,67.68,32.69,56.18,15.62,98.56
,July,34.83,75.56,62.95,21.74,44.36,8.19,80.94
,October,40.20,78.55,63.49,27.04,51.80,12.68,89.40
Minimum,,34.62,73.32,61.85,18.19,44.36,7.81,80.94
