Characteristic,Intensity,2016_California_Fort Lauderdale,2016_Florida_Los-Angeles,2017_Florida_Malibu,2021_California_Berkeley,2021_Florida_Tampa,Maximum
Humidity,,18.88,14.34,25.60,25.80,7.81,25.80
,  0-10,18.88,6.47,25.60,9.14,7.81,25.60
,  Calm,9.90,12.14,21.75,25.80,2.99,25.80
,  Medium,15.26,14.34,18.82,8.59,6.88,18.82
Temperature,,19.32,20.82,26.15,9.80,7.33,26.15
,  11-20,16.47,16.01,25.57,8.19,6.20,25.57
,  High,9.61,12.25,22.57,6.17,4.78,22.57
,  Storm,19.32,20.82,26.15,9.80,7.33,26.15
Wind,,14.01,14.69,26.11,23.73,8.83,26.11
,  31-40,10.80,5.11,26.11,9.78,8.83,26.11
,  Low,14.01,14.69,23.55,23.73,4.96,23.73
,  Storm,5.66,11.79,17.94,22.76,0.36,22.76
