Quarter,Month,Production_Hospital,Production_Hotel,Residential_Administration,Residential_Apartment,Residential_Factory,Service_School,Service_Workshop,Minimum
Q3,,58.84,16.10,84.13,2.93,38.28,68.95,27.29,2.93
,  August,59.15,20.69,93.54,5.71,41.83,74.50,28.16,5.71
,  December,64.83,25.71,99.51,9.57,47.79,80.94,34.56,9.57
,  October,58.84,16.10,84.13,2.93,38.28,68.95,27.29,2.93
Q4,,55.73,14.12,82.95,0.47,36.63,68.60,25.05,0.47
,  December,55.73,14.12,82.95,0.47,36.63,68.60,26.26,0.47
,  July,61.84,24.64,94.43,6.77,40.58,79.40,31.96,6.77
,  September,59.32,19.57,89.57,4.24,40.39,69.43,25.05,4.24
Minimum,,55.73,14.12,82.95,0.47,36.63,68.60,25.05,0.47
,  ,55.73,14.12,82.95,0.47,36.63,68.60,25.05,0.47
