Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,0-10,1.31
2021,Humidity,11-20,1.73
2021,Wind,31-40,2.02
2021,Temperature,Low,2.46
2021,Humidity,Medium,5.07
2021,Wind,High,6.86
2021,Temperature,Storm,7.84
2021,Humidity,Breeze,3.81
2021,Wind,0-10,9.5
2018,Temperature,0-10,11.41
2018,Humidity,11-20,12.82
2018,Wind,31-40,14.37
2018,Temperature,Low,14.66
2018,Humidity,Medium,18.75
2018,Wind,High,19.43
2018,Temperature,Storm,21.46
2018,Humidity,Breeze,23.8
2018,Wind,0-10,26.98
