Polluted element,Type of pollution,Minnesota_Las Vegas_2019,Minnesota_Minneapolis_2020,Minnesota_Reno_2021,Nevada_Boulder City_2020,Nevada_Rochester_2021,Average
Air,Groundwater,-73.17,2.97,-29.99,77.71,-88.57,-22.21
,Light,52.92,2.45,-35.64,-59.65,36.25,-0.73
,Solid Waste,-62.29,22.15,99.88,83.28,48.61,38.33
Soil,Inorganic Fertilizers,65.89,18.92,-29.88,83.02,48.27,37.24
,Noise,-73.80,4.42,99.78,76.90,-90.59,3.34
,Thermal,68.22,30.35,-12.21,-36.29,-76.39,-5.26
Water,Light,67.04,27.49,-14.09,-39.23,51.92,18.63
,Surface water,-70.94,14.94,-28.81,-48.55,-82.79,-43.23
,Thermal,52.06,3.22,98.04,-63.85,37.36,25.37
Average,,2.88,14.10,16.34,8.15,-12.88,5.72
