Gender,Year,Quarter,Event,Severity,Value
Gender,Year,Quarter,Event,Severity,Value
Female,2017,Q4,Traffic,Slight,68.12
Female,2017,Q4,Drowning,Slight,40.58
Female,2016,Q1,Traffic,Slight,42.84
Female,2016,Q1,Drowning,Slight,74.75
Female,2022,Q4,Traffic,Slight,54.35
Female,2022,Q4,Drowning,Slight,55.73
Female,2017,Q1,Traffic,Slight,54.34
Female,2017,Q1,Drowning,Slight,58.6
Female,2016,Q4,Traffic,Slight,88.86
Female,2016,Q4,Drowning,Slight,28.29
Female,2022,Q1,Traffic,Slight,29.07
Female,2022,Q1,Drowning,Slight,95.86
