State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Maryland,Aberdeen,2015,Water,Chemical,2.56
Maryland,Aberdeen,2015,Soil,Oxygen-depletion,2.67
Maryland,Aberdeen,2015,Air,Inorganic Fertilizers,6.99
Maryland,Aberdeen,2015,Water,Industrial,10.43
Maryland,Aberdeen,2015,Soil,Solid Waste,12.83
Maryland,Aberdeen,2015,Air,Inferior Irrigation,15.81
Maryland,Aberdeen,2015,Water,Urban Activities,17.98
Maryland,Aberdeen,2015,Soil,Light,21.57
Maryland,Aberdeen,2015,Air,Thermal,21.49
Maryland,Aberdeen,2015,Water,Noise,26.62
Maryland,Aberdeen,2015,Soil,Chemical,28.96
Maryland,Aberdeen,2015,Air,Oxygen-depletion,28.39
Maryland,Aberdeen,2015,Water,Inorganic Fertilizers,28.15
Maryland,Aberdeen,2015,Soil,Industrial,32.21
Maryland,Aberdeen,2015,Air,Solid Waste,35.53
Minnesota,Columbia,2022,Water,Chemical,35.24
Minnesota,Columbia,2022,Soil,Oxygen-depletion,42.15
Minnesota,Columbia,2022,Air,Inorganic Fertilizers,45.91
Minnesota,Columbia,2022,Water,Industrial,49.77
Minnesota,Columbia,2022,Soil,Solid Waste,50.16
Minnesota,Columbia,2022,Air,Inferior Irrigation,51.16
Minnesota,Columbia,2022,Water,Urban Activities,52.46
Minnesota,Columbia,2022,Soil,Light,53.49
Minnesota,Columbia,2022,Air,Thermal,51.89
Minnesota,Columbia,2022,Water,Noise,50.63
Minnesota,Columbia,2022,Soil,Chemical,56.03
Minnesota,Columbia,2022,Air,Oxygen-depletion,57.53
Minnesota,Columbia,2022,Water,Inorganic Fertilizers,53.24
Minnesota,Columbia,2022,Soil,Industrial,60.55
Minnesota,Columbia,2022,Air,Solid Waste,60.08
Oregon,Baltimore,2021,Water,Chemical,62.81
Oregon,Baltimore,2021,Soil,Oxygen-depletion,63.24
Oregon,Baltimore,2021,Air,Inorganic Fertilizers,64.53
Oregon,Baltimore,2021,Water,Industrial,64.57
Oregon,Baltimore,2021,Soil,Solid Waste,60.96
Oregon,Baltimore,2021,Air,Inferior Irrigation,60.12
Oregon,Baltimore,2021,Water,Urban Activities,68.54
Oregon,Baltimore,2021,Soil,Light,69.03
Oregon,Baltimore,2021,Air,Thermal,70.88
Oregon,Baltimore,2021,Water,Noise,69.8
Oregon,Baltimore,2021,Soil,Chemical,72.48
Oregon,Baltimore,2021,Air,Oxygen-depletion,73.62
Oregon,Baltimore,2021,Water,Inorganic Fertilizers,72.76
Oregon,Baltimore,2021,Soil,Industrial,75.99
Oregon,Baltimore,2021,Air,Solid Waste,73.23
Maryland,Minneapolis,2015,Water,Chemical,78.61
Maryland,Minneapolis,2015,Soil,Oxygen-depletion,78.68
Maryland,Minneapolis,2015,Air,Inorganic Fertilizers,78.07
Maryland,Minneapolis,2015,Water,Industrial,81.17
Maryland,Minneapolis,2015,Soil,Solid Waste,84.78
Maryland,Minneapolis,2015,Air,Inferior Irrigation,91.62
Maryland,Minneapolis,2015,Water,Urban Activities,93.75
Maryland,Minneapolis,2015,Soil,Light,94.43
Maryland,Minneapolis,2015,Air,Thermal,95.37
Maryland,Minneapolis,2015,Water,Noise,97.64
Maryland,Minneapolis,2015,Soil,Chemical,-95.66
Maryland,Minneapolis,2015,Air,Oxygen-depletion,-94.12
Maryland,Minneapolis,2015,Water,Inorganic Fertilizers,-95.31
Maryland,Minneapolis,2015,Soil,Industrial,-94.4
Maryland,Minneapolis,2015,Air,Solid Waste,-91.68
Minnesota,Hastings,2022,Water,Chemical,-91.61
Minnesota,Hastings,2022,Soil,Oxygen-depletion,-90.9
Minnesota,Hastings,2022,Air,Inorganic Fertilizers,-90.93
Minnesota,Hastings,2022,Water,Industrial,-86.6
Minnesota,Hastings,2022,Soil,Solid Waste,-85.0
Minnesota,Hastings,2022,Air,Inferior Irrigation,-84.68
Minnesota,Hastings,2022,Water,Urban Activities,-86.99
Minnesota,Hastings,2022,Soil,Light,-86.93
Minnesota,Hastings,2022,Air,Thermal,-81.72
Minnesota,Hastings,2022,Water,Noise,-80.19
Minnesota,Hastings,2022,Soil,Chemical,-79.33
Minnesota,Hastings,2022,Air,Oxygen-depletion,-73.1
Minnesota,Hastings,2022,Water,Inorganic Fertilizers,-72.84
Minnesota,Hastings,2022,Soil,Industrial,-70.4
Minnesota,Hastings,2022,Air,Solid Waste,-66.9
Oregon,Portland,2021,Water,Chemical,-66.79
Oregon,Portland,2021,Soil,Oxygen-depletion,-64.25
Oregon,Portland,2021,Air,Inorganic Fertilizers,-64.74
Oregon,Portland,2021,Water,Industrial,-62.93
Oregon,Portland,2021,Soil,Solid Waste,-61.58
Oregon,Portland,2021,Air,Inferior Irrigation,-64.21
Oregon,Portland,2021,Water,Urban Activities,-57.57
Oregon,Portland,2021,Soil,Light,-54.5
Oregon,Portland,2021,Air,Thermal,-49.87
Oregon,Portland,2021,Water,Noise,-47.22
