Polluted element,Type of pollution,Illinois_Flint_2021,Illinois_Springfield_2017,Michigan_Champaign_2019,Michigan_Detroit_2017
Air,,77.21,-19.23,-40.33,-13.12
,  Chemical,64.98,9.02,40.72,-23.48
,  Light,88.48,-95.36,-76.40,-2.49
,  Urban Activities,78.16,28.66,-85.32,-13.38
Soil,,-13.31,20.02,-0.63,-17.32
,  Groundwater,-68.34,7.65,-89.70,-33.69
,  Inorganic Fertilizers,71.64,21.24,39.59,-14.35
,  Noise,-43.22,31.18,48.21,-3.93
Water,,-16.35,-25.08,-45.59,-21.95
,  Inferior Irrigation,-63.02,20.10,-88.40,-17.11
,  Surface water,58.88,2.73,36.58,-36.87
,  Thermal,-44.90,-98.06,-84.95,-11.88
